"所有者コード","所有者名","住所"
"42027","(株) パドック２５７","岐阜県中津川市加子母3363-1"
"42028","(有) オートワールド","岐阜県本巣市上真桑447"
"42029","太田マツダ (株)","岐阜県美濃加茂市深田町3丁目1-8"
"42030","(株) モトーレン福島","宮城県仙台市宮城野区中野神明98-1"
"42031","大分三菱自動車販売(株)","大分県大分市花園2丁目6-1"
"42033","(株) アールズ","岐阜県羽島市福寿町浅平2丁目24-1"
"42034","(株)ワールドスターエンタープライズ","静岡県沼津市寿町1-11"
"42035","(株)ジャフリトレーディング","栃木県芳賀郡益子町七井835-1"
"42041","(株)ラヤントレーディング","群馬県館林市大島町2363-1"
"42043","(有)カートップ大阪","大阪府堺市中区新家町587"
"42036","(株) ライズ","岐阜県岐阜市又丸953-5"
"42037","(株) トップモビリティ","大阪府和泉市みずき台2丁目28-10"
"42039","(株)マサモータース","長野県塩尻市広丘吉田352-5"
"42044","(株)Ｋａｌｍａｘ　Ｉｎｔｅｒｎａｔｉｏｎａｌ","大阪府羽曳野市南古市2丁目15-20"
"42045","(株)ＲＡトレーディング","静岡県焼津市上小杉863-1"
"42047","(株)ＳＵＮ　ＡＣＥ","栃木県宇都宮市幕田町319-1"
"43016","(株) ビートガレージ","鳥取県鳥取市古海357-3"
"43017","(有)調布自動車サービスセンター","東京都調布市深大寺東町8丁目5-2"
"43032","新広島スズキ販売(株)","広島県広島市安佐北区亀山5丁目5-10"
"43033","(株)スズキ自販関東","埼玉県さいたま市北区櫛引町2丁目604-1"
"43019","(有) ガオス","鳥取県境港市西工業団地198"
"43036","(株) ＢＡＫＴＡＲ　ＩＮＴＥＲＮＡＴＩＯＮＡＬ","埼玉県春日部市備後西3丁目11-34"
"43020","(有)オートガレージムライ","愛媛県伊予郡松前町北川原1213-4"
"43021","ＫＨＡＮ－ＳＡＮＧＹＯ (株)","新潟県上越市下吉野1258-1"
"43022","(株) メディカル・ギア・エクウィプメント","和歌山県岩出市吉田242-9"
"43023","(株)アウトプラッツ","東京都豊島区要町1丁目23-1"
"43024","(株)ＩＮＶＥＳＴ","東京都渋谷区桜丘町26-1-15Ｆ"
"43025","(同) ＡＵＴＯ　ＮＡＷＡＺ","福岡県宮若市磯光1310-2"
"43026","(株) ＰＵＧ　ＣＯＲＰＯＲＡＴＩＯＮ","愛知県名古屋市南区本星崎町字宮浦537-2"
"43027","日本カーコネクション (株)","愛知県名古屋市中区丸の内2丁目18-5"
"43028","(株)カーライフサポート","東京都江戸川区西小岩3-38-9"
"43029","(有) 鳥海インターナショナル","埼玉県日高市大谷沢319-2"
"43030","人情くるまや三和自動車 (株)","沖縄県浦添市西原1丁目3-3"
"43031","(有)小林自動車","新潟県新潟市南区新飯田2595-8"
"43034","(有)最上谷自動車整備工場","秋田県横手市平鹿町醍醐字四ッ屋108"
"43037","(有)日東モータース","大阪府大阪市生野区林寺5丁目12-9"
"43038","カーソリューション(同)","静岡県浜松市南区青屋町590"
"43039","(株) 平井自動車","岡山県高梁市備中町布瀬1565-1"
"43040","小浜カーサービス(株)","福井県小浜市小浜貴船72"
"43041","(株) 令和モーターズ","埼玉県さいたま市岩槻区笹久保812-3"
"43842","ビー・エム・ダブリュー(株)","東京都港区東新橋1丁目9-1"
"43808","(有) シルクロード","福岡県古賀市青柳211-1"
"43809","(株) ＩＤＯＭ","東京都千代田区丸の内2丁目7-2"
"43810","ＨＡＩＤＥＲ　ＴＲＡＤＩＮＧ (株)","愛知県津島市牛田町字杁先71-1"
"43811","(株) ＫＴＫ　ＴＲＡＤＩＮＧ","愛知県弥富市東末広5丁目41"
"43812","創栄自動車(株)","新潟県新潟市南区大倉11"
"43813","(有) 岩倉自動車販売","北海道札幌市東区北34条東8丁目489"
"43815","(株)ＴＩＰ滋賀","滋賀県栗東市上鈎239-1"
"43816","(有)ファーストネットワーク","埼玉県桶川市上日出谷南2丁目37-6"
"43819","(株)セイコーオートモビル","大阪府大阪市平野区西脇1丁目17-4"
"43821","(株)ゲットマイカー彦根店","滋賀県彦根市高宮町2065-1"
"43822","(株)シルス・ベル","滋賀県草津市下笠町523-24"
"43824","(株) タクミ商会","東京都江戸川区南篠崎町1丁目4-11"
"90155","★ ごうぎんリース(株)","島根県松江市白潟本町63"
"43825","(株)モトレボ","埼玉県所沢市中富280-3"
"43826","(同) カーセレクト仁","和歌山県和歌山市西小二里3丁目6-43"
"43827","(株)ケイトレーディングジャパン","茨城県土浦市宍塚330-8"
"43828","ＮＣカード(株)","北海道帯広市西5条南14丁目5"
"43829","ＮＴＰ名古屋トヨペット (株)","愛知県名古屋市熱田区尾頭町2-22"
"43830","(有) オートラック","山口県周南市横浜町1-12"
"43831","(株) カーズビー","鹿児島県鹿児島市本名町857-3"
"43832","(有) 椙本鈑金","大阪府南河内郡河南町一須賀223-3"
"43833","(株) Ａ．Ｍ．Ｓ","山形県東根市野川2590-1"
"43834","(株) 笑顔いちばん","岐阜県各務原市小佐野町6丁目62"
"43835","カレント自動車(株)","神奈川県横浜市港北区新横浜2丁目5-11"
"43836","(株) エムズオート販売","新潟県十日町市東下組1119-1"
"43838","(有) スライヴ","新潟県長岡市浦9663"
"43841","(株) ＭＫモータース","長野県下伊那郡高森町出原3-28"
"42460","(株)ＪＣＲ","大阪府堺市北区八下北4-22"
"42493","ＨＡＲＥＥＭ　ＴＲＡＤＩＮＧ (株)","北海道石狩郡当別町栄町44-129"
"42494","ライブリーオート(株)","新潟県新潟市西区小針西1丁目12-30"
"42495","大洋石油 (株)","岐阜県恵那市武並町竹折44"
"42496","(株) Ｋｅｅｐ","神奈川県藤沢市大庭1792"
"42497","(株) オールフロンティア","東京都渋谷区神宮前5丁目47-12"
"42498","(有)カーメッセ・エム","東京都武蔵村山市榎3丁目91-2"
"42499","(株)アポロオート","群馬県桐生市広沢町4丁目2038-2"
